|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|आंखें चुराना|"""Stealing Eyes"""|to avoid being seen|0.41116461157798767|0.7164502143859863|0.06666666666666667|0.629115879535675|2
1|आंखों का तारा|"""The Stars of the Eyes"""|beloved person|0.3985649645328522|0.7676329612731934|0.0|0.55385422706604|1
2|चेहरा उतरना|"""To be revealed"""|to be sad or disappointed|0.40418145060539246|0.46967431902885437|0.20512820512820512|0.5703767538070679|2
3|दाँतों तले उंगली दबाना|"""To put one's foot down"""|to be very surprised|0.3882390260696411|0.5936031937599182|0.0|0.5580298900604248|1
4|साँस लेना|"""Breathe In"""|to feel relieved after hard work|0.37197145819664|0.7937321066856384|0.0|0.507358193397522|2
5|बात पक्की होना|"""To be on the right track"" or ""To be true"""|to agree on something or finalize a deal|0.5443444848060608|0.6036382913589478|0.11363636363636365|0.6328673958778381|2
6|बाल-बाल बचना|"""To be a little bit late"""|to narrowly escape from trouble|0.502453088760376|0.5002195835113525|0.0|0.6355987787246704|2
7|अक्ल का दुश्मन|"""Enemy of the mind"""|a fool who avoids wisdom|0.5151366591453552|0.8085196018218994|0.0|0.5481835007667542|4
8|जान पर खेलना|"""Playing with the Knowledge"""|to act fearlessly or take great risks|0.46933305263519287|0.5441933274269104|0.0|0.5649664402008057|3
9|पेट में चूहे कूदना|"""Feeling Nervous or Anxious"""|to be extremely hungry|0.46589896082878113|0.3842369019985199|0.0|0.5639554858207703|1
10|आसमान पर चढ़ना|Climbing to the Top|to be proud or overconfident|0.4195219874382019|0.8207128047943115|0.0|0.5744432210922241|3
11|आकाश पाताल का अंतर|The Gap Between Heaven and Hell|to be vastly different|0.46857312321662903|0.8307458162307739|0.0|0.6138938069343567|5
12|हवा से बातें करना|"""Talking in the Wind"""|to move very fast|0.4639275372028351|0.8174512386322021|0.0|0.5502706170082092|5
13|पत्थर की लकीर|"""The Stone's Song"""|to be firm on one’s word or decision|0.4053201973438263|0.6105105876922607|0.14035087719298245|0.5296971797943115|2
14|पहाड़ टूट पड़ना|"""To have a mountain fall on one's head"""|to face a huge problem or calamity|0.510568380355835|0.6848589777946472|0.050632911392405056|0.7431825995445251|3
15|ईद का चाँद होना|"""To be on the right track"""|to appear after a long time (a rare person)|0.45052388310432434|0.4595581889152527|0.0|0.6008092761039734|1
16|चकमा देना|"""To give someone a piece of your mind"""|to deceive or trick someone|0.47653207182884216|0.4869629442691803|0.1764705882352941|0.6626281142234802|1
17|उल्टी गंगा बहना|"""To go against the flow"""|something unusual or against norms happening|0.5271396636962891|0.6484455466270447|0.2028985507246377|0.6260381937026978|5
18|छक्के छुड़ाना|"""To give up hope"""|to defeat completely|0.47210755944252014|0.5034537315368652|0.0|0.6524868607521057|3
19|फूँक-फूँक कर कदम रखना|"""To take a step with hesitation"""|to act very cautiously|0.5073131918907166|0.6572712063789368|0.0|0.7297542095184326|4
20|दम में दम आना|"""To be at a loss for words"""|to regain courage or relief after fear|0.45389822125434875|0.6251288056373596|0.0|0.585319995880127|2
21|दाँत से दाँत बजाना|"""To Bite the Hand That Feeds You"""|to shiver from cold|0.3817078769207001|0.42045852541923523|0.0|0.6014788746833801|5
22|मुँह में पानी आना|"""To have water in one's mouth"""|to be tempted by delicious food|0.481518417596817|0.8184895515441895|0.0|0.666947603225708|3
23|नाक काटना|"""To Cut the Nose"""|to disgrace or embarrass someone|0.36607977747917175|0.7632439136505127|0.0|0.5333535671234131|1
24|कमर टूटना|"""To be in a bind"" or ""To be in a tight spot"""|to feel exhausted or discouraged|0.4282929599285126|0.5395209193229675|0.07407407407407406|0.5560712814331055|2
25|कमर कसना|"""To break the ice"" or ""To ease the tension"""|to prepare oneself for a challenge|0.5423547625541687|0.48168066143989563|0.0|0.6169654726982117|4
