|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|आंखें चुराना|avoid being seen|to avoid being seen|0.9177511930465698|0.49196353554725647|0.8750000000000001|0.9538353681564331|5
1|आंखों का तारा|आँखों में बस जाना|beloved person|0.3294221758842468|0.43177738785743713|0.0|0.5472738742828369|1
2|चेहरा उतरना|दिल का चैन खोना|to be sad or disappointed|0.4132755696773529|0.47649410367012024|0.0|0.5743815898895264|2
3|दाँतों तले उंगली दबाना|अंधेरे में रोशनी फैलाना|to be very surprised|0.3350341320037842|0.5618094801902771|0.0|0.40443122386932373|1
4|साँस लेना|साँप के मुँह में छछूंदर|to feel relieved after hard work|0.2328164279460907|0.47666528820991516|0.0|0.386141836643219|2
5|बात पक्की होना|पाँव रोक देना|to agree on something or finalize a deal|0.2926686704158783|0.4725475609302521|0.0|0.5679229497909546|2
6|बाल-बाल बचना|बचना|to narrowly escape from trouble|0.518439531326294|0.571499764919281|0.0|0.6104311943054199|1
7|अक्ल का दुश्मन|दिमाग का दही बनाना|a fool who avoids wisdom|0.2893511950969696|0.4125434160232544|0.0|0.5489569306373596|2
8|जान पर खेलना|दिल में बात रखना|to act fearlessly or take great risks|0.2839687764644623|0.42015501856803894|0.0|0.5275601744651794|2
9|पेट में चूहे कूदना|चूहे कूदना|to be extremely hungry|0.2987709045410156|0.4016626179218292|0.0|0.5631891489028931|1
10|आसमान पर चढ़ना|चढ़ना|to be proud or overconfident|0.30109474062919617|0.5411149263381958|0.0|0.6083685755729675|1
11|आकाश पाताल का अंतर|अंतर का अंतर|to be vastly different|0.434935599565506|0.3795722424983978|0.0|0.6686784029006958|1
12|हवा से बातें करना|हवा से बातें करना|to move very fast|0.2882278859615326|0.7408947944641113|0.0|0.4961070418357849|1
13|पत्थर की लकीर|पाँव पीछे हटाना|to be firm on one’s word or decision|0.3159036934375763|0.4379633367061615|0.0|0.4916194975376129|2
14|पहाड़ टूट पड़ना|टूटना|to face a huge problem or calamity|0.355690062046051|0.5081292390823364|0.0|0.6165722012519836|1
15|ईद का चाँद होना|दाँतों तले अंगुली आ जाना|to appear after a long time (a rare person)|0.20283204317092896|0.4318949580192566|0.0|0.41189974546432495|1
16|चकमा देना|दिल का बोझ हल्का करना|to deceive or trick someone|0.3082987368106842|0.6414076089859009|0.0|0.5204456448554993|2
17|उल्टी गंगा बहना|दिल में आग लगना|something unusual or against norms happening|0.30462488532066345|0.5011070966720581|0.0|0.5055893063545227|1
18|छक्के छुड़ाना|छुड़ाना|to defeat completely|0.40563464164733887|0.38377371430397034|0.0|0.6184224486351013|1
19|फूँक-फूँक कर कदम रखना|act very cautiously|to act very cautiously|0.9248821139335632|0.6486098170280457|0.8947368421052632|0.9597058296203613|4
20|दम में दम आना|अंधा क्या चाहे, दो आँखें|to regain courage or relief after fear|0.21906107664108276|0.3332049548625946|0.0|0.3390602469444275|2
21|दाँत से दाँत बजाना|दाँत बजाना|to shiver from cold|0.3304990828037262|0.4587351977825165|0.0|0.5929215550422668|1
22|मुँह में पानी आना|पानी मांगना|to be tempted by delicious food|0.3508158028125763|0.6227173209190369|0.0|0.6063553690910339|1
23|नाक काटना|दिल में कील ठोकना|to disgrace or embarrass someone|0.206303671002388|0.48343995213508606|0.0|0.5434894561767578|1
24|कमर टूटना|टूटना|to feel exhausted or discouraged|0.35450348258018494|0.4264164865016937|0.0|0.5389818549156189|2
25|कमर कसना|साँप के मुँह में छछूंदर|to prepare oneself for a challenge|0.27215486764907837|0.4228757619857788|0.0|0.34539729356765747|1
26|कलेजा पत्थर का होना|हाथ का पाँव|to be mentally or emotionally very strong|0.24162428081035614|0.41021183133125305|0.0|0.5702401995658875|1
27|दाँत खट्टे करना|दाँत नाखून से नाखून से|to defeat someone badly|0.19315865635871887|0.34604665637016296|0.0|0.381440132856369|2
28|ईंट से ईंट बजाना|ईंट से ईंट बजाना|to completely destroy or demolish someone|0.16624221205711365|0.443114310503006|0.0|0.5199675559997559|1
29|नाक में दम करना|दम में दम आना|to annoy someone constantly|0.24510231614112854|0.5256726741790771|0.0|0.5103005766868591|2
30|नाक पर मक्खी न बैठने देना|मक्खी की तरह बगल में रहना|to be strict or disciplined|0.28467974066734314|0.42540934681892395|0.0|0.3707447946071625|2
31|नाक कट जाना|दिमाग का पारा चढ़ना|to lose one's honor or respect|0.32164087891578674|0.45404481887817383|0.0|0.4922615587711334|1
32|नाक में तेल डालकर सोना|साँप की तरह दौड़ना|to sleep carefreely without worries|0.304360955953598|0.5590322613716125|0.0|0.4705960750579834|1
33|नाक का सवाल होना|नाक का सवाल होना|to be a matter of pride or ego|0.2850588262081146|0.4672293961048126|0.0|0.5752807855606079|1
34|नाक भौं सिकोड़ना|नाक का बाल खींचना|to show disapproval|0.3021449148654938|0.5290966629981995|0.0|0.5024912357330322|2
35|नाक नीची करना|नाक का बाल खींचना|to humiliate publicly|0.32117608189582825|0.5687490701675415|0.0|0.5491142272949219|2
36|कान खड़े होना|सीने में बात रखना|to become alert or suspicious|0.3066573441028595|0.40898439288139343|0.0|0.4811532497406006|2
37|कान पर जूँ न रेंगना|दिल का रोग|to remain unaffected or unmoved|0.3213399350643158|0.4521816074848175|0.0|0.5655325651168823|2
38|कान में तेल डालना|जान पर बन आना|to ignore someone's words|0.25137683749198914|0.41498231887817383|0.0|0.5020486116409302|1
39|कान में फूंक मारना|मुँह की बात निकल जाना|to influence or manipulate someone secretly|0.26545965671539307|0.44618669152259827|0.0|0.5017209649085999|2
40|कान पकड़ना|पानी मांगना|to vow never to repeat a mistake|0.2885107100009918|0.4956586956977844|0.0|0.5211895704269409|1
41|कान भरना|हाथ मिलाना|to manipulate someone against another|0.28082528710365295|0.47835543751716614|0.0|0.6480208039283752|1
42|कान काटना|दिल में बात रखना|to outsmart completely|0.3675331175327301|0.4341985583305359|0.0|0.5973424315452576|4
43|आसमान सिर पर उठाना|बातें करना|to create a big commotion or panic|0.2986753582954407|0.4013272821903229|0.0|0.6216328144073486|1
44|आसमान से बातें करना|सिर पर चढ़ना|to reach great heights or success|0.281238317489624|0.4011909067630768|0.0|0.6601791381835938|2
45|आसमान से गिरे खजूर में अटके|अंधा गुस्सा करना|to fall from one trouble into another|0.3580836355686188|0.38012930750846863|0.0|0.6556690335273743|1
46|आग बबूला होना|आग बबूला करना|to become extremely angry|0.3690689206123352|0.6884228587150574|0.0|0.562281608581543|1
47|आग में घी डालना|आग में घी डालना|to worsen an already bad situation|0.29671338200569153|0.7977050542831421|0.0|0.48926886916160583|1
48|आग में कूदना|आग बबूला होना|to take a dangerous risk|0.328223317861557|0.6689696311950684|0.0|0.5714677572250366|2
49|आग लगना|आग लगना|to become furious or jealous|0.28487423062324524|0.5123376250267029|0.0|0.5992772579193115|2
50|आग ठंडी होना|pacific calm|to calm down after anger|0.533433198928833|0.584880530834198|0.12121212121212122|0.6430320739746094|2
51|आग उगलना|आग उगलना|to speak harshly or aggressively|0.2623719871044159|0.6763308644294739|0.0|0.542083203792572|1
52|आग से खेलना|आग से निकाल कर राख करना|to invite danger knowingly|0.3922838568687439|0.518271267414093|0.0|0.46180054545402527|1
53|आग लगाना|आग लगना|to instigate or provoke trouble|0.3510723114013672|0.5518032312393188|0.0|0.6397300958633423|1
54|आग दिखाना|आग में घी डालना|to show anger or power|0.341293603181839|0.5762523412704468|0.0|0.5489098429679871|2
55|आग लग जाना|आग लगना|to feel jealous or restless|0.30837032198905945|0.6244478821754456|0.0|0.5285153388977051|1
56|आग बन जाना|आग ठंडी होना|to become furious|0.47895896434783936|0.48059484362602234|0.0|0.5758437514305115|2
57|आग पर तेल डालना|तेल पानी एक होना|to intensify an argument or situation|0.3305007815361023|0.4431624114513397|0.0|0.48493605852127075|1
58|धूल चाटना|साँप का बच्चा|to face defeat or humiliation|0.3086092174053192|0.41954323649406433|0.0|0.5208510756492615|2
59|धूल फाँकना|पानी सिर से गुजरना|to struggle in poverty or hardship|0.2812795639038086|0.41512808203697205|0.0|0.5474835634231567|2
60|धूल झाड़ना|झूठ बोलकर बचना|to scold or reprimand strongly|0.28683334589004517|0.5274131298065186|0.0|0.6089948415756226|2
61|धूल में मिलाना|मिलाना|to destroy completely|0.3990335166454315|0.46759966015815735|0.0|0.49784016609191895|1
62|धूल उड़ाना|धूल उड़ाना|to make a scene unnecessarily|0.21107542514801025|0.5859847068786621|0.0|0.5043911933898926|1
63|धूल झोंकना|झूठ पकड़ना|to deceive or mislead someone|0.4009012281894684|0.4770689010620117|0.0|0.6381552815437317|2
64|हवा निकल जाना|हवा में उड़ना|to lose courage suddenly|0.30365094542503357|0.642890214920044|0.0|0.5470629334449768|1
65|हवा खा जाना|हवा में उड़ना|to run away secretly|0.42693018913269043|0.59465092420578|0.0|0.6541438698768616|2
66|हवा में उड़ाना|हवा में उड़ना|to waste money carelessly|0.25709202885627747|0.7896897196769714|0.0|0.4961196184158325|1
67|हवा बन जाना|हवा बन जाना|to disappear quickly|0.426317423582077|0.587538480758667|0.0|0.6774935722351074|1
68|हवा में बात करना|हवा में बात करना|to speak without proof or sense|0.32401883602142334|0.7005904316902161|0.0|0.5654792189598083|1
69|हवा लगना|हवा लगना|to be influenced by others|0.22400031983852386|0.5406008958816528|0.0|0.5687867403030396|1
70|हवा देना|हवा में उड़ना|to encourage or instigate something|0.3090863823890686|0.6681973934173584|0.0|0.49229633808135986|2
71|हवा बदलना|हवा बदलना|to change situation or environment|0.6282970309257507|0.6366022229194641|0.0|0.7345697283744812|1
72|हवा चखना|हवा में उड़ना|to get a taste of something new (usually trouble)|0.30917224287986755|0.6791562438011169|0.0|0.560035765171051|2
73|हवा बंद होना|हवा में उड़ना|to lose confidence completely|0.3056112229824066|0.45091965794563293|0.0|0.49220070242881775|3
74|आँख में धूल झोंकना|झूठ बोलना|to deceive or fool someone|0.43916934728622437|0.6523813605308533|0.0|0.6584030389785767|1
75|आँखें फटी की फटी रह जाना|आँखों में बसा लेना|to be shocked or amazed|0.3078688681125641|0.38888347148895264|0.0|0.4986134469509125|2
76|आँखों में धूल झोंकना|झूठ बोलना|to cheat someone cleverly|0.4052754342556|0.6607497930526733|0.0|0.6148697137832642|1
77|आँखों में बस जाना|आँखों में बस जाना|to win someone’s heart|0.33648356795310974|0.5284653306007385|0.0|0.5718687772750854|1
78|आँखों से ओझल होना|disappear from sight|to disappear from sight|0.9604809284210205|0.8293890953063965|0.9|0.9605541229248047|5
79|आँख दिखाना|आँखों में बसना|to threaten or scold harshly|0.27069932222366333|0.4911251366138458|0.0|0.45096245408058167|1
80|आँख तरेरना|आँखों में बस जाना|to glare angrily|0.3749341666698456|0.43517476320266724|0.0|0.4852255880832672|1
81|आँखें फाड़ना|आँखों में बसना|to stare in surprise|0.39469727873802185|0.43337637186050415|0.0|0.5107484459877014|2
82|आँखें मूँदना|आँखों में बसा लेना|to ignore intentionally|0.38947415351867676|0.44403645396232605|0.0|0.4549412727355957|2
83|आँखों में आँसू आना|आँखों में आँसू भर आना|to become emotional or sad|0.38544222712516785|0.7892487049102783|0.0|0.45361682772636414|1
84|दिल लगाना|कान में बात डालना|to fall in love|0.3531675338745117|0.47083887457847595|0.0|0.5868211984634399|2
85|दिल तोड़ना|दिल का रोग|to break someone's heart|0.3920834958553314|0.49528968334198|0.0|0.6584610342979431|1
86|दिल जीतना|जुबान की मिठास|to win someone's affection|0.3250127136707306|0.4635639488697052|0.0|0.5465835332870483|1
87|दिल पर लेना|आग लगना|to take something personally|0.30552324652671814|0.41269049048423767|0.0|0.5391023755073547|2
88|दिल लगाकर काम करना|काम करना|to work wholeheartedly|0.4769417941570282|0.5089948177337646|0.0|0.7373573780059814|1
89|दिल में बात रखना|हाथ मिलाना|to hide one’s feelings|0.33768612146377563|0.5102757811546326|0.0|0.6293162703514099|1
90|दिल पर पत्थर रखना|हाथ पर हाथ रखना|to act bravely despite pain|0.3085229694843292|0.37124374508857727|0.0|0.5877641439437866|2
91|दिल जलना|दिल से का रोग|to feel jealous or envious|0.18060950934886932|0.41840633749961853|0.0|0.5103264451026917|2
92|दिल बहलाना|साँप का बच्चा|to distract from sadness|0.2734052538871765|0.41797733306884766|0.0|0.4999307692050934|2
93|दिल धड़कना|to feel suspense or fear|to feel nervous or excited|0.7513464689254761|0.5305546522140503|0.32|0.8772433400154114|4
94|दिल खोलकर देना|be generous|to be generous|0.9062709212303162|0.7137393951416016|0.8|0.926862895488739|5
95|दिल में चोर होना|हाथ में हाथ डालना|to have guilt or bad intentions|0.2555406987667084|0.3945368230342865|0.0|0.5135764479637146|2
96|दिल में बसना|हाथ मिलाना|to be deeply loved or remembered|0.32176467776298523|0.5540019273757935|0.0|0.5851660370826721|2
97|दिल का हाल बताना|कान में बात डालना|to express inner feelings|0.40757742524147034|0.6153053641319275|0.0|0.6038813591003418|2
98|दिल टूट जाना|टूट जाना|to feel heartbroken|0.4285501539707184|0.543866753578186|0.0|0.6292027235031128|1
99|दिल खुश हो जाना|हाथ मिलाना|to become happy|0.4244787395000458|0.5404895544052124|0.0|0.628835916519165|1
100|दिल में बात आना|आग लगना|to get an idea or feeling|0.36755549907684326|0.4132278263568878|0.0|0.5975754261016846|2
101|दिल से उतर जाना|दिल में बात रखना|to lose affection or trust|0.30430588126182556|0.456533819437027|0.0|0.5992898344993591|2
102|दिल से लगाना|बात कहना|to love or treat affectionately|0.31466051936149597|0.5021048784255981|0.0|0.5816860795021057|2
103|दिल लगा रहना|stay interested|to stay interested or focused|0.7425265312194824|0.7643798589706421|0.5853658536585366|0.8555659055709839|5
104|दिमाग चलना|अंधा क्या चाहे, दो आँखें|to think cleverly|0.269218772649765|0.3364153802394867|0.0|0.3826753497123718|2
105|दिमाग खराब होना|दिमाग खराब होना|to lose temper or sanity|0.5602283477783203|0.7155412435531616|0.0|0.7426291704177856|1
106|दिमाग लगाना|मन लगाना|to use intelligence or creativity|0.2948713004589081|0.506916344165802|0.0|0.6226589679718018|2
