|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|आंखें चुराना|to avoid being seen|to avoid being seen|0.9724225997924805|0.523422122001648|1.0|1.0000001192092896|5
1|आंखों का तारा|someone extremely dear|beloved person|0.7204977869987488|0.47028931975364685|0.0|0.7581419348716736|4
2|चेहरा उतरना|to become sad or disappointed|to be sad or disappointed|0.9346552491188049|0.5616821050643921|0.8148148148148148|0.9633069038391113|4
3|दाँतों तले उंगली दबाना|to be shocked or amazed|to be very surprised|0.7578316926956177|0.5486387610435486|0.1904761904761905|0.8593171834945679|4
4|साँस लेना|to feel relieved after hard work|to feel relieved after hard work|0.9661266207695007|0.627526044845581|1.0|0.9999999403953552|5
5|बात पक्की होना|to agree on something or finalize a deal|to agree on something or finalize a deal|0.981285810470581|0.8018924593925476|1.0|1.0|5
6|बाल-बाल बचना|to narrowly escape from trouble|to narrowly escape from trouble|0.980303943157196|0.7335464954376221|1.0|1.0|5
7|अक्ल का दुश्मन|fool who avoids wisdom|a fool who avoids wisdom|0.9422839879989624|0.6792006492614746|0.9333333333333333|0.9402067065238953|5
8|जान पर खेलना|to act fearlessly or take great risks|to act fearlessly or take great risks|0.9693490862846375|0.6872746348381042|1.0|1.0|5
9|पेट में चूहे कूदना|to be extremely hungry|to be extremely hungry|0.9708096385002136|0.4283643960952759|1.0|1.000000238418579|5
10|आसमान पर चढ़ना|to be proud or overconfident|to be proud or overconfident|0.9769235849380493|0.5574168562889099|1.0|0.9999999403953552|4
11|आकाश पाताल का अंतर|great difference in status or strength|to be vastly different|0.6025095582008362|0.5336660146713257|0.2|0.7483712434768677|4
12|हवा से बातें करना|to move very fast|to move very fast|0.9771390557289124|0.4570023715496063|1.0|0.9999997615814209|3
13|पत्थर की लकीर|firmness of one’s word or decision|to be firm on one’s word or decision|0.8863800168037415|0.4900721311569214|0.631578947368421|0.932794451713562|4
14|पहाड़ टूट पड़ना|to face a huge problem or calamity|to face a huge problem or calamity|0.9669832587242126|0.5864376425743103|1.0|1.000000238418579|5
15|ईद का चाँद होना|to be the same old complaint|to appear after a long time (a rare person)|0.4655800759792328|0.4092302620410919|0.0|0.5623087882995605|2
16|चकमा देना|to deceive or fool someone|to deceive or trick someone|0.9512413740158081|0.7423815727233887|0.6792452830188679|0.9710978865623474|5
17|उल्टी गंगा बहना|to have a close friendship or family ties|something unusual or against norms happening|0.4080369770526886|0.40887680649757385|0.0449438202247191|0.5416162610054016|4
18|छक्के छुड़ाना|to defeat completely|to defeat completely|0.9744217991828918|0.5654800534248352|1.0|1.0|5
19|फूँक-फूँक कर कदम रखना|act very cautiously|to act very cautiously|0.9248821139335632|0.6486098170280457|0.8947368421052632|0.9597059488296509|4
20|दम में दम आना|to regain courage or relief after fear|to regain courage or relief after fear|0.9632672667503357|0.6017472743988037|1.0|1.0000001192092896|5
21|दाँत से दाँत बजाना|to shiver from cold|to shiver from cold|0.9684345126152039|0.48557722568511963|1.0|1.0|5
22|मुँह में पानी आना|to be tempted by delicious food|to be tempted by delicious food|0.9571571350097656|0.5314597487449646|1.0|1.0|5
23|नाक काटना|to disgrace someone publicly|to disgrace or embarrass someone|0.8364794850349426|0.6473507881164551|0.5084745762711864|0.9325403571128845|5
24|कमर टूटना|to feel exhausted or discouraged|to feel exhausted or discouraged|0.9712031483650208|0.49063318967819214|1.0|1.0000001192092896|5
25|कमर कसना|to prepare oneself for a challenge|to prepare oneself for a challenge|0.9750674366950989|0.6772866249084473|1.0|1.0|5
26|कलेजा पत्थर का होना|to be mentally or emotionally very strong|to be mentally or emotionally very strong|0.9762024879455566|0.49067410826683044|1.0|1.0|5
27|दाँत खट्टे करना|to defeat someone badly|to defeat someone badly|0.9589620232582092|0.5335561633110046|1.0|0.9999997615814209|5
28|ईंट से ईंट बजाना|to defeat completely|to completely destroy or demolish someone|0.5105869770050049|0.3833000957965851|0.26666666666666666|0.7755232453346252|4
29|नाक में दम करना|to annoy someone constantly|to annoy someone constantly|0.9795463681221008|0.6134225130081177|1.0|1.0000001192092896|5
30|नाक पर मक्खी न बैठने देना|to be strict or disciplined|to be strict or disciplined|0.970548689365387|0.41391101479530334|1.0|0.9999998807907104|5
31|नाक कट जाना|to lose honor or respect|to lose one's honor or respect|0.8896576762199402|0.4521416127681732|0.7857142857142857|0.9816308617591858|5
32|नाक में तेल डालकर सोना|to sleep peacefully without worry|to sleep carefreely without worries|0.8545514941215515|0.512759268283844|0.588235294117647|0.879992663860321|4
33|नाक का सवाल होना|to be a matter of pride or ego|to be a matter of pride or ego|0.9677165150642395|0.5026746392250061|1.0|0.9999997019767761|5
34|नाक भौं सिकोड़ना|to decide authoritatively|to show disapproval|0.49153897166252136|0.48076435923576355|0.0|0.651991605758667|1
35|नाक नीची करना|to humiliate publicly|to humiliate publicly|0.964984118938446|0.6962606310844421|1.0|0.9999998807907104|5
36|कान खड़े होना|to become alert or suspicious|to become alert or suspicious|0.9737952351570129|0.49057164788246155|1.0|0.9999999403953552|5
37|कान पर जूँ न रेंगना|to remain unaffected or unmoved|to remain unaffected or unmoved|0.9633671641349792|0.4855453073978424|1.0|1.000000238418579|5
38|कान में तेल डालना|to ignore someone's words|to ignore someone's words|0.9715638756752014|0.6554334759712219|1.0|1.000000238418579|5
39|कान में फूंक मारना|to secretly manipulate someone|to influence or manipulate someone secretly|0.9011489748954773|0.5003703832626343|0.6301369863013699|0.9267341494560242|5
40|कान पकड़ना|to vow never to repeat a mistake|to vow never to repeat a mistake|0.9765391945838928|0.5666670799255371|1.0|0.9999997615814209|5
41|कान भरना|to manipulate someone against another|to manipulate someone against another|0.9761717915534973|0.443789005279541|1.0|1.0|5
42|कान काटना|to outsmart completely|to outsmart completely|0.9795294404029846|0.4181220233440399|1.0|1.0000001192092896|5
43|आसमान सिर पर उठाना|to create a big commotion or panic|to create a big commotion or panic|0.9716535806655884|0.4379989504814148|1.0|1.0000001192092896|5
44|आसमान से बातें करना|to reach great heights or success|to reach great heights or success|0.9732430577278137|0.5036741495132446|1.0|1.000000238418579|5
45|आसमान से गिरे खजूर में अटके|to fall from one trouble into another|to fall from one trouble into another|0.9726396203041077|0.4424668848514557|1.0|1.0000001192092896|3
46|आग बबूला होना|to become extremely angry|to become extremely angry|0.9817957282066345|0.8201557397842407|1.0|1.0|5
47|आग में घी डालना|to worsen an already bad situation|to worsen an already bad situation|0.971220076084137|0.7780056595802307|1.0|1.0000001192092896|5
48|आग में कूदना|to take a dangerous risk|to take a dangerous risk|0.974540114402771|0.6293625831604004|1.0|1.0|5
49|आग लगना|to feel jealous or restless|to become furious or jealous|0.8325297236442566|0.566510796546936|0.36363636363636365|0.8749821186065674|4
50|आग ठंडी होना|to calm down after anger|to calm down after anger|0.9775744080543518|0.6723645925521851|1.0|0.9999998807907104|5
51|आग उगलना|to speak harshly or aggressively|to speak harshly or aggressively|0.972526490688324|0.5977935194969177|1.0|0.9999998807907104|5
52|आग से खेलना|to invite danger knowingly|to invite danger knowingly|0.9790444374084473|0.5056517124176025|1.0|0.9999998807907104|5
53|आग लगाना|to instigate or provoke trouble|to instigate or provoke trouble|0.9763818979263306|0.6282799243927002|1.0|0.9999998807907104|5
54|आग दिखाना|to show anger or power|to show anger or power|0.9808473587036133|0.6325171589851379|1.0|0.9999999403953552|5
55|आग लग जाना|to feel jealous or restless|to feel jealous or restless|0.9727187156677246|0.6009527444839478|1.0|1.0000001192092896|5
56|आग बन जाना|to become furious or jealous|to become furious|0.8486487865447998|0.6164552569389343|0.6976744186046512|0.9292760491371155|5
57|आग पर तेल डालना|to intensify an argument or situation|to intensify an argument or situation|0.9752480387687683|0.731751561164856|1.0|0.9999997615814209|5
58|धूल चाटना|to struggle in poverty or hardship|to face defeat or humiliation|0.6800274848937988|0.5440271496772766|0.09375|0.7180479168891907|4
59|धूल फाँकना|to struggle in poverty or hardship|to struggle in poverty or hardship|0.9607711434364319|0.5301963090896606|1.0|1.000000238418579|5
60|धूल झाड़ना|to scold or reprimand harshly|to scold or reprimand strongly|0.9024949073791504|0.6549370288848877|0.7457627118644068|0.9573549032211304|5
61|धूल में मिलाना|to destroy completely|to destroy completely|0.9827468991279602|0.6911390423774719|1.0|0.9999996423721313|5
62|धूल उड़ाना|to make a scene unnecessarily|to make a scene unnecessarily|0.9601505398750305|0.516542375087738|1.0|1.0|5
63|धूल झोंकना|to cheat someone cleverly|to deceive or mislead someone|0.5701864361763|0.4727495014667511|0.18867924528301888|0.7699394226074219|4
64|हवा निकल जाना|to lose courage suddenly|to lose courage suddenly|0.9770075082778931|0.7103619575500488|1.0|1.0|5
65|हवा खा जाना|to lose courage suddenly|to run away secretly|0.6237848401069641|0.5900581479072571|0.0|0.6506821513175964|4
66|हवा में उड़ाना|to waste money carelessly|to waste money carelessly|0.9678940176963806|0.573106050491333|1.0|1.0000001192092896|5
67|हवा बन जाना|to disappear quickly|to disappear quickly|0.9805391430854797|0.6417922377586365|1.0|1.000000238418579|5
68|हवा में बात करना|to speak without proof or sense|to speak without proof or sense|0.9731786847114563|0.4850699007511139|1.0|1.0000001192092896|5
69|हवा लगना|to be influenced by others|to be influenced by others|0.9718652367591858|0.46767058968544006|1.0|1.000000238418579|5
70|हवा देना|to encourage or instigate something|to encourage or instigate something|0.9790409207344055|0.6655849814414978|1.0|0.9999996423721313|5
71|हवा बदलना|to change situation or environment|to change situation or environment|0.9845053553581238|0.6329020261764526|1.0|1.0|5
72|हवा चखना|to get a taste of something new (usually trouble)|to get a taste of something new (usually trouble)|0.9577012062072754|0.45989879965782166|1.0|0.9999999403953552|5
73|हवा बंद होना|to lose confidence completely|to lose confidence completely|0.9812065362930298|0.5042570233345032|1.0|1.000000238418579|5
74|आँख में धूल झोंकना|to cheat someone cleverly|to deceive or fool someone|0.6330942511558533|0.4846045672893524|0.2|0.8081504106521606|4
75|आँखें फटी की फटी रह जाना|to be shocked or amazed|to be shocked or amazed|0.9702027440071106|0.6541303396224976|1.0|1.000000238418579|5
76|आँखों में धूल झोंकना|to cheat someone cleverly|to cheat someone cleverly|0.9620505571365356|0.4895404279232025|1.0|1.000000238418579|5
77|आँखों में बस जाना|to win someone’s heart|to win someone’s heart|0.9724290370941162|0.5041337013244629|1.0|0.9999998211860657|5
78|आँखों से ओझल होना|to disappear from sight|to disappear from sight|0.988024115562439|0.8403021693229675|1.0|0.9999999403953552|5
79|आँख दिखाना|to threaten or scold harshly|to threaten or scold harshly|0.9549835324287415|0.5877233743667603|1.0|1.0000004768371582|5
80|आँख तरेरना|to glare angrily|to glare angrily|0.9777964949607849|0.7569354772567749|1.0|0.9999999403953552|5
81|आँखें फाड़ना|to stare in surprise|to stare in surprise|0.9786730408668518|0.5936680436134338|1.0|1.0000001192092896|5
82|आँखें मूँदना|to ignore intentionally|to ignore intentionally|0.9777334332466125|0.6866322755813599|1.0|1.000000238418579|5
83|आँखों में आँसू आना|to become emotional or sad|to become emotional or sad|0.9818775057792664|0.7997026443481445|1.0|1.000000238418579|5
84|दिल लगाना|to fall in love|to fall in love|0.9867876768112183|0.8276684284210205|1.0|1.0000001192092896|5
85|दिल तोड़ना|to break someone's heart|to break someone's heart|0.9721484780311584|0.7981364727020264|1.0|1.0000003576278687|5
86|दिल जीतना|to win someone's affection|to win someone's affection|0.9814466238021851|0.8183863759040833|1.0|0.9999997615814209|5
87|दिल पर लेना|to take something personally|to take something personally|0.9840396642684937|0.7505096197128296|1.0|1.0000001192092896|5
88|दिल लगाकर काम करना|to work wholeheartedly|to work wholeheartedly|0.9845513105392456|0.8182594776153564|1.0|1.0|5
89|दिल में बात रखना|to hide one’s feelings|to hide one’s feelings|0.9702655076980591|0.5724340081214905|1.0|1.000000238418579|5
90|दिल पर पत्थर रखना|to act bravely despite pain|to act bravely despite pain|0.9706453084945679|0.5568767786026001|1.0|1.000000238418579|5
91|दिल जलना|to feel jealousy or anger|to feel jealous or envious|0.8892716765403748|0.7310976386070251|0.5882352941176471|0.9311554431915283|4
92|दिल बहलाना|to distract from sadness|to distract from sadness|0.9739158749580383|0.6944417357444763|1.0|1.0|5
93|दिल धड़कना|to feel nervous or excited|to feel nervous or excited|0.978997528553009|0.5152966976165771|1.0|1.000000238418579|5
94|दिल खोलकर देना|to be generous or forgiving|to be generous|0.8583350777626038|0.6318578124046326|0.6153846153846153|0.9177217483520508|4
95|दिल में चोर होना|to feel guilt or bad intentions|to have guilt or bad intentions|0.8925341963768005|0.6446784734725952|0.75|0.9518696665763855|4
96|दिल में बसना|to be deeply loved or remembered|to be deeply loved or remembered|0.9741547107696533|0.6517250537872314|1.0|1.0|5
