|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|आंखें चुराना|stealing eyes|to avoid being seen|0.4078485667705536|0.7473315000534058|0.07142857142857142|0.6959814429283142|2
1|आंखों का तारा|star of the eye|beloved person|0.4895454943180084|0.8029290437698364|0.0|0.672427773475647|2
2|चेहरा उतरना|facial dislocation|to be sad or disappointed|0.3864821791648865|0.5498577952384949|0.05|0.5803656578063965|2
3|दाँतों तले उंगली दबाना|Finger pressing under the teeth|to be very surprised|0.4029819667339325|0.7700459957122803|0.0|0.4478619694709778|2
4|साँस लेना|breathing|to feel relieved after hard work|0.37871506810188293|0.8268649578094482|0.0|0.5958496928215027|2
5|बात पक्की होना|to be certain|to agree on something or finalize a deal|0.46086445450782776|0.800654411315918|0.0|0.6953309178352356|5
6|बाल-बाल बचना|Avoidance of children|to narrowly escape from trouble|0.544147253036499|0.5691745281219482|0.0|0.6986886858940125|2
7|अक्ल का दुश्मन|The Enemy of Reason|a fool who avoids wisdom|0.5724679827690125|0.8609757423400879|0.0|0.5519157648086548|5
8|जान पर खेलना|Playing with life|to act fearlessly or take great risks|0.48161593079566956|0.8258171677589417|0.0|0.5598887801170349|4
9|पेट में चूहे कूदना|jumping rats in the stomach|to be extremely hungry|0.364709734916687|0.5715073943138123|0.0|0.5735035538673401|1
10|आसमान पर चढ़ना|ascending to heaven|to be proud or overconfident|0.3998476564884186|0.8466467261314392|0.0|0.5966993570327759|2
11|आकाश पाताल का अंतर|The difference between heaven and hell|to be vastly different|0.5910812020301819|0.8504101037979126|0.2|0.6564724445343018|4
12|हवा से बातें करना|Talking to the wind|to move very fast|0.48903653025627136|0.8382161855697632|0.0|0.5509573221206665|2
13|पत्थर की लकीर|line of stone|to be firm on one’s word or decision|0.4208027720451355|0.8059555888175964|0.0|0.5609984397888184|2
14|पहाड़ टूट पड़ना|and the mountains will split apart|to face a huge problem or calamity|0.5411188006401062|0.8141197562217712|0.0|0.6476908326148987|2
15|ईद का चाँद होना|The moon of Eid|to appear after a long time (a rare person)|0.43112263083457947|0.7425583600997925|0.0|0.532005786895752|1
16|चकमा देना|cheat|to deceive or trick someone|0.4215283989906311|0.8276842832565308|0.0|0.6894059777259827|1
17|उल्टी गंगा बहना|upstream flowing|something unusual or against norms happening|0.4291287362575531|0.6586691737174988|0.0|0.5504946708679199|1
18|छक्के छुड़ाना|redemption of sixes|to defeat completely|0.44589564204216003|0.674771785736084|0.0|0.656014621257782|2
19|फूँक-फूँक कर कदम रखना|Step by step|to act very cautiously|0.41822871565818787|0.6079510450363159|0.0|0.5543840527534485|4
20|दम में दम आना|shortness of breath|to regain courage or relief after fear|0.4571114480495453|0.6985698938369751|0.0|0.5662252306938171|2
21|दाँत से दाँत बजाना|tooth by tooth|to shiver from cold|0.3661211133003235|0.538372278213501|0.0|0.5885147452354431|1
22|मुँह में पानी आना|Watering in the mouth|to be tempted by delicious food|0.4565480649471283|0.8314441442489624|0.0|0.6047981977462769|2
23|नाक काटना|cutting the nose|to disgrace or embarrass someone|0.35582828521728516|0.7968629598617554|0.0|0.5805208086967468|2
24|कमर टूटना|fracture of the back|to feel exhausted or discouraged|0.3897024691104889|0.7935967445373535|0.0|0.5649744868278503|3
25|कमर कसना|tightness of the waist|to prepare oneself for a challenge|0.45914193987846375|0.7948257327079773|0.0|0.43803730607032776|3
26|कलेजा पत्थर का होना|Having a liver stone|to be mentally or emotionally very strong|0.40657588839530945|0.8352168798446655|0.0|0.4406779408454895|1
27|दाँत खट्टे करना|grinding of teeth|to defeat someone badly|0.4032919108867645|0.7131935358047485|0.0|0.5822161436080933|2
28|ईंट से ईंट बजाना|playing brick by brick|to completely destroy or demolish someone|0.34896764159202576|0.691556990146637|0.0|0.5940260887145996|2
29|नाक में दम करना|breathing in the nose|to annoy someone constantly|0.4646567106246948|0.7507256269454956|0.0|0.45225340127944946|2
30|नाक पर मक्खी न बैठने देना|Not letting a fly sit on your nose|to be strict or disciplined|0.4185773432254791|0.8093008995056152|0.0|0.517944872379303|2
31|नाक कट जाना|cutting off the nose|to lose one's honor or respect|0.43174150586128235|0.7440418601036072|0.0|0.5948438048362732|2
32|नाक में तेल डालकर सोना|Putting oil in the nose|to sleep carefreely without worries|0.3638991415500641|0.7062171697616577|0.0|0.534606397151947|2
33|नाक का सवाल होना|Having a problem with the nose|to be a matter of pride or ego|0.5529578328132629|0.7818653583526611|0.03125|0.53987056016922|2
34|नाक भौं सिकोड़ना|narrowing of the nose and eyebrows|to show disapproval|0.38401028513908386|0.8017274141311646|0.0|0.5363008975982666|1
35|नाक नीची करना|lowering the nose|to humiliate publicly|0.5580360293388367|0.8166115283966064|0.0|0.5790870189666748|3
36|कान खड़े होना|ears standing up|to become alert or suspicious|0.47913387417793274|0.6177418231964111|0.0|0.4862526059150696|2
