|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|आंखें चुराना|Cut off a person's eyes and hang them up as a warning to all ###|to avoid being seen|0.4409307539463043|0.4556596279144287|0.04444444444444444|0.6092857122421265|1
1|आंखों का तारा|Guide one's actions by one's principles###|beloved person|0.429951012134552|0.37638720870018005|0.0|0.5330098271369934|4
2|चेहरा उतरना|Show one's face (or look) to the public|to be sad or disappointed|0.37722355127334595|0.5129451155662537|0.06060606060606061|0.5371661186218262|5
3|दाँतों तले उंगली दबाना|Pinch one's fingers together and call it a double squeeze###|to be very surprised|0.40838322043418884|0.4663947522640228|0.0|0.4412706792354584|1
4|साँस लेना|Accept somebody's invitation without hesitation|to feel relieved after hard work|0.49037864804267883|0.424976646900177|0.0|0.5015347599983215|5
5|बात पक्की होना|Be perfectly clear in one's explanation|to agree on something or finalize a deal|0.5006369352340698|0.7005579471588135|0.0|0.5792440176010132|2
6|बाल-बाल बचना|(of a boy and a girl) be innocent playmates###|to narrowly escape from trouble|0.5060980319976807|0.3974623382091522|0.0|0.400009423494339|4
7|अक्ल का दुश्मन|Abhor (or hate) to the core of one's being|a fool who avoids wisdom|0.4728202521800995|0.5214763879776001|0.0|0.523123025894165|4
8|जान पर खेलना|Play with fire|to act fearlessly or take great risks|0.4724278748035431|0.6849328875541687|0.0|0.600967288017273|3
9|पेट में चूहे कूदना|(of a person) be found guilty of a crime against the state ###|to be extremely hungry|0.360176146030426|0.33579495549201965|0.04597701149425287|0.35002076625823975|4
10|आसमान पर चढ़ना|Strive for the impossible or illusory###|to be proud or overconfident|0.4983613193035126|0.4358297288417816|0.058823529411764705|0.6141394972801208|2
11|आकाश पाताल का अंतर|The distance between heaven and earth|to be vastly different|0.5011277198791504|0.8490360975265503|0.0|0.6372053623199463|3
12|हवा से बातें करना|Tell somebody something for what it's worth|to move very fast|0.40277957916259766|0.4230480492115021|0.0|0.5464423894882202|4
13|पत्थर की लकीर|A man of very few words###|to be firm on one’s word or decision|0.4472394585609436|0.3999081254005432|0.060606060606060615|0.42448002099990845|1
14|पहाड़ टूट पड़ना|Fall off a mountain|to face a huge problem or calamity|0.45411285758018494|0.7357013821601868|0.037037037037037035|0.6112170815467834|3
15|ईद का चाँद होना|The moon shines on the water|to appear after a long time (a rare person)|0.4083172380924225|0.48894941806793213|0.0|0.43757364153862|2
16|चकमा देना|Give somebody the opportunity to explain|to deceive or trick someone|0.5182544589042664|0.6088541746139526|0.08823529411764705|0.6431333422660828|1
17|उल्टी गंगा बहना|Make a clean sweep|something unusual or against norms happening|0.3773277699947357|0.46314123272895813|0.0|0.45751652121543884|3
18|छक्के छुड़ाना|Let things drift if they do not affect one personally ###|to defeat completely|0.44717586040496826|0.3565567135810852|0.0|0.4638155698776245|2
19|फूँक-फूँक कर कदम रखना|Be on the increase|to act very cautiously|0.3993343710899353|0.45753440260887146|0.0|0.583764910697937|1
20|दम में दम आना|Inescapable consequences|to regain courage or relief after fear|0.43369823694229126|0.4368787705898285|0.0|0.5347309112548828|2
21|दाँत से दाँत बजाना|Slap one's face until it's swollen in an effort to look imposing###|to shiver from cold|0.4928707182407379|0.42407214641571045|0.0|0.532058596611023|2
22|मुँह में पानी आना|Have water in one's mouth - be ready to do something without extra effort###|to be tempted by delicious food|0.537255048751831|0.5343603491783142|0.03508771929824562|0.5698532462120056|2
23|नाक काटना|Cut off a person's head and hang it up as a warning to all|to disgrace or embarrass someone|0.44918447732925415|0.507800817489624|0.0|0.6139412522315979|1
24|कमर टूटना|Collapse under the weight of evidence|to feel exhausted or discouraged|0.4686893820762634|0.5152789950370789|0.0|0.5712521076202393|5
25|कमर कसना|Lock the door after the thief has gone|to prepare oneself for a challenge|0.5154499411582947|0.49352118372917175|0.02631578947368421|0.4133203327655792|2
26|कलेजा पत्थर का होना|The best thing to do now is to leave it to chance.|to be mentally or emotionally very strong|0.417928546667099|0.4715072810649872|0.0|0.4206663966178894|2
27|दाँत खट्टे करना|Punish one as a warning to all ###|to defeat someone badly|0.4956275522708893|0.41270163655281067|0.03571428571428571|0.6008991003036499|3
28|ईंट से ईंट बजाना|Sing the same tune as others|to completely destroy or demolish someone|0.39199748635292053|0.4266194701194763|0.0|0.45751267671585083|5
29|नाक में दम करना|Protect oneself from harm by not daring to oppose ###|to annoy someone constantly|0.49678054451942444|0.4244244396686554|0.0|0.48145592212677|1
30|नाक पर मक्खी न बैठने देना|Don't be afraid to tell somebody something new ###|to be strict or disciplined|0.48059752583503723|0.40465250611305237|0.05063291139240507|0.5101504325866699|3
31|नाक कट जाना|Cut off a person's head and hang it up as a warning to all ###|to lose one's honor or respect|0.46036234498023987|0.46934059262275696|0.0392156862745098|0.5593419075012207|2
32|नाक में तेल डालकर सोना|Put on a false smile ###|to sleep carefreely without worries|0.3857835531234741|0.49073517322540283|0.0|0.4639672338962555|2
33|नाक का सवाल होना|Have a lot of questions to ask|to be a matter of pride or ego|0.5678006410598755|0.49123021960258484|0.12307692307692308|0.5665478706359863|1
34|नाक भौं सिकोड़ना|Touch one's face (in greeting)###|to show disapproval|0.4905366003513336|0.5812326073646545|0.0|0.5304493308067322|1
35|नाक नीची करना|Bow to somebody's wishes|to humiliate publicly|0.4123047888278961|0.6513804197311401|0.0|0.5610313415527344|1
36|कान खड़े होना|Have one's head and shoulders above others|to become alert or suspicious|0.41199764609336853|0.4582752287387848|0.0|0.510595977306366|2
37|कान पर जूँ न रेंगना|Don't be afraid to speak up ###|to remain unaffected or unmoved|0.45523080229759216|0.5382795333862305|0.0|0.5048142075538635|1
38|कान में तेल डालना|Coat one's head with oil (used as a remedy for dandruff)###|to ignore someone's words|0.43136483430862427|0.5312202572822571|0.09090909090909091|0.30929386615753174|1
39|कान में फूंक मारना|(of a person) be found guilty by circumstantial evidence ###|to influence or manipulate someone secretly|0.3950845003128052|0.41156819462776184|0.038095238095238106|0.40158289670944214|5
40|कान पकड़ना|Pinpoint the mistake|to vow never to repeat a mistake|0.5509591698646545|0.4264913499355316|0.1923076923076923|0.683360755443573|4
41|कान भरना|Feel nervous and uneasy###|to manipulate someone against another|0.4365246593952179|0.36895421147346497|0.0|0.5343317985534668|2
42|कान काटना|Cut off a person's head and hang it up as a warning to all|to outsmart completely|0.4422478973865509|0.44749268889427185|0.0|0.5842512249946594|3
43|आसमान सिर पर उठाना|Put up a struggle ###|to create a big commotion or panic|0.41252943873405457|0.3627070486545563|0.037037037037037035|0.6140096187591553|3
44|आसमान से बातें करना|Explain something by reference to something else|to reach great heights or success|0.5006498098373413|0.5184261202812195|0.0|0.5269435048103333|4
45|आसमान से गिरे खजूर में अटके|(something) falls into somebody's lap ###|to fall from one trouble into another|0.5467038750648499|0.395812064409256|0.15384615384615385|0.6332802176475525|1
46|आग बबूला होना|The time has come for action###|to become extremely angry|0.5204638242721558|0.513519287109375|0.07272727272727274|0.5095179677009583|2
47|आग में घी डालना|Distribute the blame (or responsibility) to others|to worsen an already bad situation|0.5607009530067444|0.5086755752563477|0.0|0.5899283289909363|5
48|आग में कूदना|Run after one's own shadow|to take a dangerous risk|0.42785027623176575|0.43046310544013977|0.0|0.5032061338424683|1
49|आग लगना|(of an evil-doer) will have no chance of escape if he keeps on doing evil ###|to become furious or jealous|0.39052852988243103|0.3161008656024933|0.0|0.3649134933948517|1
50|आग ठंडी होना|The temperature drops as the night progresses|to calm down after anger|0.5538873076438904|0.5541267991065979|0.0|0.5091468095779419|1
51|आग उगलना|Make a clean sweep|to speak harshly or aggressively|0.37707826495170593|0.44469761848449707|0.0|0.46469810605049133|2
52|आग से खेलना|Play with fire|to invite danger knowingly|0.5927913784980774|0.860366940498352|0.0|0.5897780656814575|4
53|आग लगाना|Attach a label to something|to instigate or provoke trouble|0.45866745710372925|0.4140588939189911|0.0|0.39471107721328735|2
54|आग दिखाना|Indicate the direction of advance|to show anger or power|0.5443993210792542|0.46432599425315857|0.0|0.5588159561157227|2
55|आग लग जाना|Know something about everything|to feel jealous or restless|0.38946402072906494|0.39925941824913025|0.0|0.5494123101234436|2
56|आग बन जाना|The march of events ###|to become furious|0.422061026096344|0.4080306589603424|0.0|0.45745688676834106|2
57|आग पर तेल डालना|Lift a rock only to have one's toes squashed###|to intensify an argument or situation|0.40851715207099915|0.3711771070957184|0.0|0.5144357085227966|1
58|धूल चाटना|Scratch one's head|to face defeat or humiliation|0.41601482033729553|0.4943193197250366|0.0|0.6275927424430847|3
59|धूल फाँकना|Foolishly overreach oneself|to struggle in poverty or hardship|0.43921205401420593|0.4539187550544739|0.0|0.6151957511901855|4
60|धूल झाड़ना|Plough the land###|to scold or reprimand strongly|0.40308985114097595|0.6400312185287476|0.04444444444444444|0.5405067801475525|2
61|धूल में मिलाना|Be found in a suspicious position###|to destroy completely|0.4138398766517639|0.47437548637390137|0.0|0.4632127583026886|2
62|धूल उड़ाना|Let loose a stream of abuse (against somebody)###|to make a scene unnecessarily|0.49042147397994995|0.5545296669006348|0.07692307692307693|0.5405425429344177|4
63|धूल झोंकना|(of a man and a woman) be happy together###|to deceive or mislead someone|0.34583136439323425|0.3271569013595581|0.0|0.3793613314628601|2
64|हवा निकल जाना|The wind blows from all directions|to lose courage suddenly|0.43821296095848083|0.6210832595825195|0.0|0.4456338584423065|1
65|हवा खा जाना|Have (or get) wind from the direction of one's attack###|to run away secretly|0.4653942883014679|0.3950740694999695|0.0|0.6103251576423645|4
66|हवा में उड़ाना|Fly in the face of ###|to waste money carelessly|0.41968244314193726|0.5077307820320129|0.0|0.49499353766441345|2
67|हवा बन जाना|The wind blows from all directions|to disappear quickly|0.48668211698532104|0.4838840663433075|0.0|0.4566667377948761|2
68|हवा में बात करना|Tell somebody something for what it's worth|to speak without proof or sense|0.4656437635421753|0.4786554276943207|0.0|0.6552128195762634|4
69|हवा लगना|The wind blows from all directions|to be influenced by others|0.45061588287353516|0.5469174385070801|0.0|0.49194180965423584|2
70|हवा देना|Let the wind blow|to encourage or instigate something|0.4688432514667511|0.8000495433807373|0.0|0.49498945474624634|3
71|हवा बदलना|The wind blows from all directions|to change situation or environment|0.5209577679634094|0.5563116073608398|0.0|0.5194657444953918|1
72|हवा चखना|Wallow in one's own slough of despondency|to get a taste of something new (usually trouble)|0.44518592953681946|0.4676329791545868|0.04166666666666667|0.6049806475639343|2
73|हवा बंद होना|The wind stops (or gives up) ###|to lose confidence completely|0.4645443558692932|0.6793071031570435|0.0|0.4887697696685791|3
74|आँख में धूल झोंकना|(a thief) will leave no trace of his presence|to deceive or fool someone|0.4708574116230011|0.4063935875892639|0.0|0.5334842205047607|3
75|आँखें फटी की फटी रह जाना|Be at somebody's beck and call ###|to be shocked or amazed|0.3631410300731659|0.3943939805030823|0.0|0.5080592632293701|2
76|आँखों में धूल झोंकना|(of an evil-doer) will have no trouble getting away with it|to cheat someone cleverly|0.5707337260246277|0.38029494881629944|0.0|0.6519222259521484|4
77|आँखों में बस जाना|Busily occupied from morning to night|to win someone’s heart|0.45400577783584595|0.4288891851902008|0.0|0.5667330622673035|4
