src,explanation_used,literal_used,final_translation,QE_final,QE_literal,QE_explanation,DA_final,DA_literal,DA_explanation,QE_final_gt_literal,DA_final_gt_literal
दिल छोटा मत करो,don’t lose hope,don’t make the heart small,Don't lose heart.,0.16433356702327728,-0.013063658028841019,0.14270234107971191,0.9148455262184143,0.6141632199287415,0.9869202971458435,1.0,1.0
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To prey on the helpless.,-0.30577293038368225,-0.4996586740016937,-0.15298762917518616,0.8264517188072205,0.48077192902565,0.9704268574714661,1.0,1.0
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Use kind words.,0.16441069543361664,-0.07505056262016296,-0.16764864325523376,0.8062172532081604,0.47778770327568054,0.975220799446106,1.0,1.0
दिल का रोग,heartache/grief,disease of the heart,heartache,0.028592679649591446,0.6060060858726501,0.1132030338048935,0.8244668841362,0.5300338268280029,0.9886239171028137,0.0,1.0
गला सूख जाना,to feel nervous or scared,the throat to dry up,My throat went dry.,0.34569051861763,0.23016509413719177,-0.703604519367218,0.4759334325790405,0.44029244780540466,0.974721372127533,1.0,1.0
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,to lose one's mind,-0.4109640419483185,-0.39067715406417847,-0.3951469659805298,0.49662646651268005,0.5757832527160645,0.9846854209899902,0.0,0.0
गला काट प्रतिस्पर्धा,cut-throat competition,throat-cut competition,cutthroat competition,-0.27740544080734253,-0.2570951282978058,-0.25830885767936707,0.9511337280273438,0.8073890805244446,0.9875292181968689,0.0,1.0
बाल-बाल बचना,to narrowly escape from trouble,to be saved by a hair,to escape by the skin of one's teeth,-0.8946515917778015,-1.0097047090530396,-0.7957334518432617,0.4301857054233551,0.45789989829063416,0.9803038239479065,1.0,0.0
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,"When it rains, it pours.",-0.7737568020820618,-0.30673953890800476,-0.6177789568901062,0.461251825094223,0.4942542612552643,0.975547194480896,0.0,0.0
गलती पर पर्दा डालना,to cover up a mistake,to put a curtain over a mistake,to sweep a mistake under the rug,0.17801544070243835,0.24388381838798523,0.17333556711673737,0.791313648223877,0.7567062377929688,0.9862443804740906,0.0,1.0
