|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|आंखें चुराना|stealing eyes|to avoid being seen|0.4078485667705536|0.7473315000534058|0.07142857142857142|0.6959814429283142|2
1|आंखों का तारा|star of eyes|beloved person|0.4555795192718506|0.7579163312911987|0.0|0.6551294922828674|3
2|चेहरा उतरना|face off|to be sad or disappointed|0.37108054757118225|0.4561063349246979|0.0|0.5978949069976807|2
3|दाँतों तले उंगली दबाना|Finger pressing under the teeth|to be very surprised|0.4029819369316101|0.7700456976890564|0.0|0.44786202907562256|2
4|साँस लेना|breathe in|to feel relieved after hard work|0.4682428240776062|0.7993752956390381|0.0|0.6008836030960083|1
5|बात पक्की होना|being sure of something|to agree on something or finalize a deal|0.6541174650192261|0.8422812223434448|0.24615384615384617|0.6926754713058472|3
6|बाल-बाल बचना|Avoidance of child abuse|to narrowly escape from trouble|0.5900058150291443|0.584164023399353|0.0|0.6313719153404236|2
7|अक्ल का दुश्मन|The Enemy of Reason|a fool who avoids wisdom|0.5724679827690125|0.8609757423400879|0.0|0.5519158244132996|5
8|जान पर खेलना|risking their lives|to act fearlessly or take great risks|0.6609277129173279|0.7476675510406494|0.0|0.7535322904586792|4
9|पेट में चूहे कूदना|Jumping mice in the stomach|to be extremely hungry|0.3604641258716583|0.6023178100585938|0.0|0.5865483283996582|2
10|आसमान पर चढ़ना|Ascension to the Heavens|to be proud or overconfident|0.3699803948402405|0.810539722442627|0.0|0.5470623970031738|1
11|आकाश पाताल का अंतर|The difference between heaven and earth|to be vastly different|0.5707326531410217|0.852360725402832|0.1967213114754098|0.664122998714447|4
12|हवा से बातें करना|Talking to the Air|to move very fast|0.4657526910305023|0.8204406499862671|0.0|0.5718443393707275|2
13|पत्थर की लकीर|line of stone|to be firm on one’s word or decision|0.4208027720451355|0.8059555888175964|0.0|0.5609982013702393|2
14|पहाड़ टूट पड़ना|The mountains will be split asunder.|to face a huge problem or calamity|0.4867863357067108|0.816257119178772|0.0|0.6359847784042358|1
15|ईद का चाँद होना|The moon of Eid|to appear after a long time (a rare person)|0.43112263083457947|0.7425581216812134|0.0|0.532005786895752|1
16|चकमा देना|fussing|to deceive or trick someone|0.37457919120788574|0.7977453470230103|0.0|0.577502965927124|2
17|उल्टी गंगा बहना|reversing the flow of the Ganges|something unusual or against norms happening|0.4956671893596649|0.7921882271766663|0.02564102564102564|0.5178117752075195|2
18|छक्के छुड़ाना|redeeming the sixes|to defeat completely|0.4455718994140625|0.6816921234130859|0.0|0.6700462102890015|1
19|फूँक-फूँक कर कदम रखना|"The Bible says: ""He that is walking with wise persons will become wise, but he that is having dealings with the stupid ones will fare badly""."|to act very cautiously|0.43868616223335266|0.3211272358894348|0.0|0.37485596537590027|1
20|दम में दम आना|shortness of breath|to regain courage or relief after fear|0.4571114480495453|0.6985698938369751|0.0|0.5662251114845276|2
21|दाँत से दाँत बजाना|Tooth by tooth|to shiver from cold|0.35717251896858215|0.5267660021781921|0.0|0.6119524240493774|3
22|मुँह में पानी आना|mouth watering|to be tempted by delicious food|0.4883383810520172|0.8433818817138672|0.0|0.5754459500312805|4
23|नाक काटना|cutting the nose|to disgrace or embarrass someone|0.35582828521728516|0.7968629598617554|0.0|0.5805206298828125|1
24|कमर टूटना|fracture of the back|to feel exhausted or discouraged|0.3897024691104889|0.7935967445373535|0.0|0.5649744868278503|2
25|कमर कसना|tightening of the waist|to prepare oneself for a challenge|0.456320196390152|0.8035911321640015|0.0|0.5350465774536133|1
26|कलेजा पत्थर का होना|Having a kidney stone|to be mentally or emotionally very strong|0.397068053483963|0.8329716920852661|0.031746031746031744|0.45154857635498047|1
27|दाँत खट्टे करना|grinding of the teeth|to defeat someone badly|0.4054373502731323|0.6958857774734497|0.0|0.583469569683075|1
28|ईंट से ईंट बजाना|playing brick by brick|to completely destroy or demolish someone|0.34896764159202576|0.691556990146637|0.0|0.5940258502960205|1
29|नाक में दम करना|Breathlessness in the nose|to annoy someone constantly|0.4750685393810272|0.7475772500038147|0.0|0.4179098606109619|2
30|नाक पर मक्खी न बैठने देना|Don 't let a fly sit on your nose.|to be strict or disciplined|0.43365582823753357|0.8318746089935303|0.0|0.5424630045890808|2
31|नाक कट जाना|cutting of the nose|to lose one's honor or respect|0.4382157027721405|0.7608304619789124|0.0|0.573845386505127|2
32|नाक में तेल डालकर सोना|Sleeping with oil in the nose|to sleep carefreely without worries|0.4303593337535858|0.820022463798523|0.09230769230769231|0.6367793083190918|3
33|नाक का सवाल होना|Having a nose problem|to be a matter of pride or ego|0.541697084903717|0.78142249584198|0.03773584905660378|0.5338332653045654|2
34|नाक भौं सिकोड़ना|Nose eyebrow shrinkage|to show disapproval|0.3998801112174988|0.8254337310791016|0.0|0.48455992341041565|1
35|नाक नीची करना|lowering the nose|to humiliate publicly|0.5580360293388367|0.816611647605896|0.0|0.5790870785713196|2
36|कान खड़े होना|standing ears|to become alert or suspicious|0.4164261817932129|0.5433953404426575|0.0|0.6718792915344238|2
37|कान पर जूँ न रेंगना|No worms on the ear|to remain unaffected or unmoved|0.3714369535446167|0.7666187882423401|0.0|0.493458092212677|2
38|कान में तेल डालना|Putting oil in the ear|to ignore someone's words|0.44527795910835266|0.8376470804214478|0.0|0.5319792628288269|2
39|कान में फूंक मारना|Blowing in the Ear|to influence or manipulate someone secretly|0.32646214962005615|0.7345349788665771|0.0|0.48418277502059937|2
40|कान पकड़ना|catch the ears|to vow never to repeat a mistake|0.36196497082710266|0.6873056292533875|0.0|0.6258344054222107|2
41|कान भरना|ear stuffing|to manipulate someone against another|0.3333721458911896|0.7667476534843445|0.0|0.5732237100601196|2
42|कान काटना|cutting of ears|to outsmart completely|0.4589637517929077|0.8160970211029053|0.0|0.5878162384033203|1
43|आसमान सिर पर उठाना|Raising the Heavens on High|to create a big commotion or panic|0.34124308824539185|0.7045634984970093|0.0|0.5909850597381592|1
44|आसमान से बातें करना|Talking to the Heavens|to reach great heights or success|0.4675932824611664|0.8122286796569824|0.0|0.5601892471313477|2
45|आसमान से गिरे खजूर में अटके|caught in palm-trees falling from the sky|to fall from one trouble into another|0.42688480019569397|0.7368323802947998|0.14457831325301204|0.6622528433799744|1
46|आग बबूला होना|bursting into flames|to become extremely angry|0.6080052852630615|0.8198966383934021|0.0|0.6735638380050659|2
47|आग में घी डालना|Adding Ginger to the Fire|to worsen an already bad situation|0.4746544361114502|0.8335920572280884|0.0|0.47950279712677|2
48|आग में कूदना|Jumping into the Fire|to take a dangerous risk|0.5248535871505737|0.8385189771652222|0.04545454545454545|0.5913470983505249|5
49|आग लगना|fire|to become furious or jealous|0.3829595148563385|0.6881864666938782|0.0|0.6287920475006104|2
50|आग ठंडी होना|fire cooling|to calm down after anger|0.5333354473114014|0.7750061750411987|0.0|0.6167033910751343|2
51|आग उगलना|igniting fire|to speak harshly or aggressively|0.3736495077610016|0.7796614170074463|0.0|0.5828229188919067|1
52|आग से खेलना|Playing with Fire|to invite danger knowingly|0.5420087575912476|0.8449666500091553|0.0|0.5726208686828613|2
